Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,53.34,-137.16,180,bottom
C2,22pF,C_0805_2012Metric,53.34,-147.32,0,bottom
C3,1uF,C_0805_2012Metric,63.5,-151.13,0,bottom
C4,0.1uF,C_0805_2012Metric,58.42,-151.13,270,bottom
C5,0.1uF,C_0805_2012Metric,59.055,-133.35,270,bottom
C6,0.1uF,C_0805_2012Metric,73.66,-137.16,270,bottom
C7,10uF,C_0805_2012Metric,73.66,-147.32,90,bottom
C8,100nF,C_0805_2012Metric,180.848,-114.808,270,bottom
C9,100nF,C_0805_2012Metric,175.8442,-114.8057,90,bottom
D1,S0D-123,D_SOD-123,21.164029,-53.369128,83,bottom
D2,S0D-123,D_SOD-123,40.072033,-55.690739,83,bottom
D3,S0D-123,D_SOD-123,58.980037,-58.01235,83,bottom
D4,S0D-123,D_SOD-123,77.888041,-60.333961,83,bottom
D5,S0D-123,D_SOD-123,96.796046,-62.655572,83,bottom
D6,S0D-123,D_SOD-123,115.70405,-64.977183,83,bottom
D7,S0D-123,D_SOD-123,146.20875,-41.75125,90,bottom
D8,S0D-123,D_SOD-123,165.4175,-41.75125,90,bottom
D9,S0D-123,D_SOD-123,184.4675,-41.75125,90,bottom
D10,S0D-123,D_SOD-123,214.857423,-63.06764,97,bottom
D11,S0D-123,D_SOD-123,233.765427,-60.746029,97,bottom
D12,S0D-123,D_SOD-123,252.673431,-58.424418,97,bottom
D13,S0D-123,D_SOD-123,271.581435,-56.102807,97,bottom
D14,S0D-123,D_SOD-123,290.489439,-53.781196,97,bottom
D15,S0D-123,D_SOD-123,309.397444,-51.459585,97,bottom
D16,S0D-123,D_SOD-123,18.842418,-72.277132,83,bottom
D17,S0D-123,D_SOD-123,37.750422,-74.598743,83,bottom
D18,S0D-123,D_SOD-123,56.658426,-76.920354,83,bottom
D19,S0D-123,D_SOD-123,75.56643,-79.241965,83,bottom
D20,S0D-123,D_SOD-123,94.474435,-81.563576,83,bottom
D21,S0D-123,D_SOD-123,113.382439,-83.885187,83,bottom
D22,S0D-123,D_SOD-123,146.20875,-60.80125,90,bottom
D23,S0D-123,D_SOD-123,165.1,-60.96,90,bottom
D24,S0D-123,D_SOD-123,184.15,-60.96,90,bottom
D25,S0D-123,D_SOD-123,216.883247,-82.171904,97,bottom
D26,S0D-123,D_SOD-123,235.791251,-79.850293,97,bottom
D27,S0D-123,D_SOD-123,254.699255,-77.528682,97,bottom
D28,S0D-123,D_SOD-123,273.607259,-75.207071,97,bottom
D29,S0D-123,D_SOD-123,292.515264,-72.88546,97,bottom
D30,S0D-123,D_SOD-123,311.423268,-70.563849,97,bottom
D31,S0D-123,D_SOD-123,16.343893,-91.323356,83,bottom
D32,S0D-123,D_SOD-123,35.251898,-93.644967,83,bottom
D33,S0D-123,D_SOD-123,54.159902,-95.966578,83,bottom
D34,S0D-123,D_SOD-123,73.067906,-98.288189,83,bottom
D35,S0D-123,D_SOD-123,91.97591,-100.6098,83,bottom
D36,S0D-123,D_SOD-123,110.883914,-102.931411,83,bottom
D37,S0D-123,D_SOD-123,146.05,-80.01,90,bottom
D38,S0D-123,D_SOD-123,165.1,-80.01,90,bottom
D39,S0D-123,D_SOD-123,184.15,-80.01,90,bottom
D40,S0D-123,D_SOD-123,219.204858,-101.079909,97,bottom
D41,S0D-123,D_SOD-123,238.112862,-98.758298,97,bottom
D42,S0D-123,D_SOD-123,257.020866,-96.436687,97,bottom
D43,S0D-123,D_SOD-123,275.92887,-94.115076,97,bottom
D44,S0D-123,D_SOD-123,294.836875,-91.793465,97,bottom
D45,S0D-123,D_SOD-123,313.744879,-89.471854,97,bottom
D46,S0D-123,D_SOD-123,14.022282,-110.231361,83,bottom
D47,S0D-123,D_SOD-123,32.930287,-112.552972,83,bottom
D48,S0D-123,D_SOD-123,51.838291,-114.874583,83,bottom
D49,S0D-123,D_SOD-123,70.746295,-117.196194,83,bottom
D50,S0D-123,D_SOD-123,89.654299,-119.517805,83,bottom
D51,S0D-123,D_SOD-123,108.562303,-121.839416,83,bottom
D52,S0D-123,D_SOD-123,146.05,-99.06,90,bottom
D53,S0D-123,D_SOD-123,165.1,-99.06,90,bottom
D54,S0D-123,D_SOD-123,184.15,-99.06,90,bottom
D55,S0D-123,D_SOD-123,221.526469,-119.987913,97,bottom
D56,S0D-123,D_SOD-123,240.434473,-117.666302,97,bottom
D57,S0D-123,D_SOD-123,259.342477,-115.344691,97,bottom
D58,S0D-123,D_SOD-123,278.250481,-113.02308,97,bottom
D59,S0D-123,D_SOD-123,297.158486,-110.701469,97,bottom
D60,S0D-123,D_SOD-123,316.06649,-108.379858,97,bottom
D61,S0D-123,D_SOD-123,165.1008,-128.40094,90,bottom
D63,S0D-123,D_SOD-123,146.0508,-147.45094,90,bottom
D64,S0D-123,D_SOD-123,165.1008,-147.45094,90,bottom
D65,S0D-123,D_SOD-123,184.1508,-147.45094,90,bottom
F1,500mA,Fuse_1206_3216Metric,59.055,-156.21,180,bottom
R1,10k,R_0805_2012Metric,53.34,-151.13,180,bottom
R2,22,R_0805_2012Metric,53.34,-153.67,180,bottom
R3,22,R_0805_2012Metric,53.34,-156.21,180,bottom
R4,10k,R_0805_2012Metric,69.9516,-133.35,180,bottom
SW1,SW_Push,SKQG-1155865,34.29,-140.97,90,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,64.77,-142.24,90,bottom
USB1,Molex-0548190589,Molex-0548190589,6.35,-31.75,270,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,53.34,-142.24,270,bottom
